Job arriving time,# of container,Job elapsed time,Job type
202844,6,125,0
202844,10,125,0
203006,3,112,1
203501,9,107,0
204005,9,118,1
204005,10,113,0
204161,3,,2
204161,4,,2
204161,7,,2
204161,1,107,1
204161,9,57,0
204170,3,,2
204170,10,72,1
204185,5,,2
204215,3,37,0
204219,1,,2
204219,1,34,1
204374,5,155,1
204374,2,38,1
204374,5,349,0
204383,9,,2
204847,8,81,0
204859,1,,2
204985,6,36,0
205153,8,,2
205153,1,,2
205153,6,70,1
205153,1,45,1
205153,7,189,0
205183,5,188,1
205669,9,35,1
205669,6,131,0
205720,3,29,1
205810,10,35,0
205990,6,,2
205990,8,41,1
206236,6,35,0
206348,8,27,1
206348,4,34,0
206402,1,165,1
206870,9,,2
206870,7,2429,1
206870,6,2907,0
206978,2,,2
208022,6,27,1
208109,3,89,1
208661,6,,2
208853,8,35,1
209001,2,,2
209001,5,168,1
209235,2,,2
209291,8,32,1
209431,2,62,1
209431,10,679,0
209443,2,676,1
209899,8,,2
209998,3,156,1
210068,7,,2
210086,9,28,0
210429,7,,2
210487,2,,2
210578,1,38,1
210808,10,24,0
210894,2,483,1
211279,7,,2
211279,37,3377,1
211585,6,1167,1
211585,8,25,1
211676,1,33,0
211828,4,,2
211844,4,124,0
211858,1,,2
212146,6,,2
212146,10,52,1
213606,10,116,1
213646,10,39,1
213650,2,74,1
213662,3,94,1
213665,1,79,1
213683,6,78,1
214043,10,48,1
214547,9,33,1
214687,1,3110,1
214687,4,2393,1
214753,2,,2
215167,6,,2
215668,3,,2
215785,3,,2
215812,9,55,0
216004,6,,2
216004,8,133,1
216004,7,398,0
216108,1,36,1
216109,1,35,0
216369,5,37,1
216389,5,,2
216389,6,,2
216389,2,39,1
216389,10,38,1
216389,3,2956,0
216533,3,2239,1
216853,5,41,1
217270,3,40,0
217450,4,44,0
217891,9,34,1
218221,10,24,1
218671,9,35,1
218797,7,725,0
218852,11,672,1
218852,31,498,1
218896,1,136,1
218932,1,39,0
219604,4,90,0
219844,3,38,0
219854,10,851,1
220344,10,820,0
220344,31,664,0
220393,1,790,1
220393,8,30,0
220493,2,,2
220493,4,2306,1
220597,4,37,0
220813,9,48,0
221429,7,,2
221704,5,87,0
221977,7,40,0
222067,10,187,1
222147,16,184,1
222407,10,503,1
222407,8,114,1
222407,6,85,1
222427,10,84,1
222427,7,84,1
222483,8,,2
222501,2,,2
222501,4,,2
222513,2,410,1
222557,1,268,1
222557,5,40,1
222557,9,39,1
222557,2,39,1
222732,7,40,1
223029,9,,2
223029,1,417,1
223029,2,51,0
223497,9,,2
223497,9,,2
223497,5,37,1
223550,1,,2
223550,8,353,1
223550,10,26,1
223581,1,40,1
223701,6,,2
223701,6,,2
223701,4,,2
223701,5,402,1
223701,1,27,0
223961,5,,2
223961,10,,2
223961,6,,2
223961,9,112,0
224236,5,,2
224236,1,594,1
224236,6,30,1
224236,2,30,1
224236,4,522,0
224346,2,24,1
224451,3,40,1
224595,8,,2
224595,4,40,1
224595,2,40,1
224595,1,1194,0
224595,1,122,0
224640,5,141,1
224742,3,37,0
224822,8,,2
224822,5,1039,1
224822,1,38,1
224822,4,485,0
224822,8,27,0
225372,10,38,0
225382,10,3040,0
225390,2,,2
225483,3,31,1
225593,5,,2
225593,7,241,1
225593,9,203,0
225602,3,39,1
225875,39,226,1
226176,7,,2
226176,3,152,1
226176,3,315,0
226176,7,224,0
226176,1,334,0
227636,10,,2
228500,9,,2
228500,9,538,1
228500,2,44,1
228500,2,194,0
228520,5,,2
228716,4,38,1
228726,10,74,1
228726,10,42,1
228726,9,45,0
228762,3,,2
228768,1,396,0
229008,4,44,0
229035,9,41,1
229147,7,1023,0
229202,5,109,0
229328,3,2860,1
229328,9,62,1
229832,7,35,1
229904,3,812,1
229904,9,346,0
229922,6,40,1
230750,9,,2
231598,8,47,1
231598,2,29,1
231942,8,85,1
231948,1,50,0
231951,1,82,0
232421,5,89,1
232715,6,107,1
232723,2,,2
232763,2,34,1
232850,3,244,1
233150,50,,2
233822,7,,2
233822,5,52,1
233940,2,119,0
234282,9,42,1
234318,9,232,1
234328,1,230,1
234481,17,139,0
234597,4,72,0
234613,4,103,1
234637,8,144,1
234652,5,117,1
234652,2,117,1
234733,9,82,0
234769,1,31,1
234775,2,,2
234775,1,69,1
235175,10,103,1
235259,7,,2
235427,7,33,1
235502,3,30,0
235754,6,,2
235760,2,34,1
235760,4,682,0
235850,2,,2
235850,10,,2
235850,7,48,1
235850,1,42,1
236255,9,36,1
236267,1,42,1
236472,5,,2
236472,1,138,0
236508,6,113,1
236574,22,175,1
236914,4,35,0
237010,8,512,0
237265,5,,2
237265,3,377,1
237265,2,60,1
238245,10,141,0
238317,2,39,1
238545,3,26,0
238797,7,,2
238797,10,41,1
238877,4,124,1
239073,7,1531,0
240289,8,47,1
240601,6,159,0
240713,1,39,1
240873,5,,2
240873,1,51,0
241153,5,394,1
241349,7,127,1
241429,4,,2
241429,4,222,1
241437,2,31,1
243357,40,,2
243461,2,,2
243477,1,76,0
243493,1,57,1
