Job arriving time,# of container,Job elapsed time,Job type
36268,1,37,1
36272,1,,2
36272,1,,2
36272,1,39,1
36272,1,38,1
36272,1,2956,0
36320,1,2239,1
36384,1,41,1
36523,1,40,0
36568,1,44,0
36617,1,34,1
36650,1,24,1
36700,1,35,1
36718,1,725,0
36723,11,672,1
36723,31,498,1
36767,1,136,1
36803,1,39,0
36971,1,90,0
37051,1,38,0
37052,1,851,1
37101,10,820,0
37101,31,664,0
37150,1,790,1
37150,1,30,0
37200,1,,2
37200,1,2306,1
37226,1,37,0
37250,1,48,0
37338,1,,2
37393,1,87,0
37432,1,40,0
37441,1,187,1
37446,16,184,1
37472,1,503,1
37472,1,114,1
37472,1,85,1
37474,1,84,1
37474,1,84,1
37481,1,,2
37490,1,,2
37490,1,,2
37496,2,410,1
37540,1,268,1
37540,1,40,1
37540,1,39,1
37540,1,39,1
37565,1,40,1
37598,1,,2
37598,1,417,1
37598,1,51,0
37650,1,,2
37650,1,,2
37650,1,37,1
37703,1,,2
37703,1,353,1
37703,1,26,1
37734,1,40,1
37754,1,,2
37754,1,,2
37754,1,,2
37754,1,402,1
37754,1,27,0
37806,1,,2
37806,1,,2
37806,1,,2
37806,1,112,0
37861,1,,2
37861,1,594,1
37861,1,30,1
37861,1,30,1
37861,1,522,0
37916,1,24,1
37951,1,40,1
37969,1,,2
37969,1,40,1
37969,1,40,1
37969,1,1194,0
37969,1,122,0
37978,5,141,1
38012,1,37,0
38022,1,,2
38022,1,1039,1
38022,1,38,1
38022,1,485,0
38022,1,27,0
38077,1,38,0
38078,1,3040,0
38082,1,,2
38113,1,31,1
38135,1,,2
38135,1,241,1
38135,1,203,0
38138,1,39,1
38145,39,226,1
38188,1,,2
38188,1,152,1
38188,1,315,0
38188,1,224,0
38188,1,334,0
38334,1,,2
38430,1,,2
38430,1,538,1
38430,1,44,1
38430,1,194,0
38434,1,,2
38483,1,38,1
38484,1,74,1
38484,1,42,1
38484,1,45,0
38496,1,,2
38502,1,396,0
38562,1,44,0
38565,1,41,1
38581,1,1023,0
38592,1,109,0
38634,1,2860,1
38634,1,62,1
38706,1,35,1
38730,1,812,1
38730,1,346,0
38733,1,40,1
38825,1,,2
38931,1,47,1
38931,1,29,1
38974,1,85,1
38980,1,50,0
38983,1,82,0
39077,1,89,1
39126,1,107,1
39130,1,,2
39150,1,34,1
39179,1,244,1
39185,50,,2
39281,1,,2
39281,1,52,1
39340,1,119,0
39378,1,42,1
39382,1,232,1
39392,1,230,1
39401,17,139,0
39430,1,72,0
39434,1,103,1
39437,1,144,1
39440,1,117,1
39440,1,117,1
39449,1,82,0
39485,1,31,1
39488,1,,2
39488,1,69,1
39528,1,103,1
39540,1,,2
39564,1,33,1
39589,1,30,0
39631,1,,2
39634,1,34,1
39634,1,682,0
39679,1,,2
39679,1,,2
39679,1,48,1
39679,1,42,1
39724,1,36,1
39736,1,42,1
39777,1,,2
39777,1,138,0
39783,1,113,1
39786,22,175,1
39871,1,35,0
39883,1,512,0
39934,1,,2
39934,1,377,1
39934,1,60,1
40032,1,141,0
40068,1,39,1
40144,1,26,0
40180,1,,2
40180,1,41,1
40200,1,124,1
40228,1,1531,0
40380,1,47,1
40432,1,159,0
40544,1,39,1
40576,1,,2
40576,1,51,0
40632,1,394,1
40660,1,127,1
40680,1,,2
40680,1,222,1
40684,1,31,1
40732,40,,2
40784,1,,2
40800,1,76,0
40816,1,57,1
40832,1,,2
40832,1,228,0
40836,40,,2
40852,1,36,0
40868,1,,2
40888,1,,2
40888,1,,2
40888,1,1032,0
40896,1,36,0
40964,1,,2
40968,1,48,1
40984,1,,2
40992,12,212,0
41116,1,28,1
41128,1,37,1
41136,1,156,1
41136,1,92,1
41136,1,284,0
41144,1,94,0
